0 0  0  5.5  5.5
591  -2.36276  -0.932997  4.78047  5.4135
592  -2.36276  -0.932997  4.78047  5.4135
593  -2.07436  -0.760429  2.77412  3.5464
594  -2.07436  -0.760429  2.77412  3.5464
595  -2.07436  -0.760429  2.77412  3.5464
596  -0.353532  -1.46208  3.82997  4.11477
597  -0.353532  -1.46208  3.82997  4.11477
598  -0.353532  -1.46208  3.82997  4.11477
599  -0.840839  -0.798495  6.23235  6.3393
600  -0.840839  -0.798495  6.23235  6.3393
601  -2.01699  0.983276  4.23903  4.7963
602  -2.01699  0.983276  4.23903  4.7963
603  -2.01699  0.983276  4.23903  4.7963
